member_full,last_name,first_name,party,state,vote_cast,lis_member_id,members_Id,vote_number
Merkley (D-OR),Merkley,Jeff,D,OR,Nay,S322,0,278
Mikulski (D-MD),Mikulski,Barbara,D,MD,Nay,S182,0,278
Moran (R-KS),Moran,Jerry,R,KS,Yea,S347,0,278
Murkowski (R-AK),Murkowski,Lisa,R,AK,Yea,S288,0,278
Murphy (D-CT),Murphy,Christopher,D,CT,Nay,S364,0,278
Murray (D-WA),Murray,Patty,D,WA,Nay,S229,0,278
Nelson (D-FL),Nelson,Bill,D,FL,Nay,S282,0,278
Paul (R-KY),Paul,Rand,R,KY,Yea,S348,0,278
Perdue (R-GA),Perdue,David,R,GA,Nay,S379,0,278
Peters (D-MI),Peters,Gary,D,MI,Nay,S380,0,278
Portman (R-OH),Portman,Rob,R,OH,Yea,S349,0,278
Reed (D-RI),Reed,John,D,RI,Nay,S259,0,278
Reid (D-NV),Reid,Harry,D,NV,Not Voting,S198,0,278
Risch (R-ID),Risch,James,R,ID,Yea,S323,0,278
Roberts (R-KS),Roberts,Pat,R,KS,Yea,S260,0,278
Rounds (R-SD),Rounds,Mike,R,SD,Yea,S381,0,278
Rubio (R-FL),Rubio,Marco,R,FL,Not Voting,S350,0,278
Sanders (I-VT),Sanders,Bernie,I,VT,Nay,S313,0,278
Sasse (R-NE),Sasse,Ben,R,NE,Yea,S382,0,278
Schatz (D-HI),Schatz,Brian,D,HI,Nay,S353,0,278
Schumer (D-NY),Schumer,Charles,D,NY,Nay,S270,0,278
Scott (R-SC),Scott,Timothy,R,SC,Not Voting,S365,0,278
Sessions (R-AL),Sessions,Jefferson,R,AL,Yea,S261,0,278
Shaheen (D-NH),Shaheen,Jeanne,D,NH,Nay,S324,0,278
Shelby (R-AL),Shelby,Richard,R,AL,Yea,S184,0,278
Stabenow (D-MI),Stabenow,Debbie,D,MI,Nay,S284,0,278
Sullivan (R-AK),Sullivan,Dan,R,AK,Yea,S383,0,278
Tester (D-MT),Tester,Jon,D,MT,Nay,S314,0,278
Thune (R-SD),Thune,John,R,SD,Yea,S303,0,278
Tillis (R-NC),Tillis,Thomas,R,NC,Yea,S384,0,278
Toomey (R-PA),Toomey,Pat,R,PA,Yea,S351,0,278
Udall (D-NM),Udall,Tom,D,NM,Nay,S326,0,278
Vitter (R-LA),Vitter,David,R,LA,Yea,S299,0,278
Warner (D-VA),Warner,Mark,D,VA,Nay,S327,0,278
Warren (D-MA),Warren,Elizabeth,D,MA,Nay,S366,0,278
Whitehouse (D-RI),Whitehouse,Sheldon,D,RI,Nay,S316,0,278
Wicker (R-MS),Wicker,Roger,R,MS,Yea,S318,0,278
Wyden (D-OR),Wyden,Ron,D,OR,Nay,S247,0,278
Alexander (R-TN),Alexander,Lamar,R,TN,Yea,S289,0,279
Ayotte (R-NH),Ayotte,Kelly,R,NH,Yea,S340,0,279
Baldwin (D-WI),Baldwin,Tammy,D,WI,Yea,S354,0,279
Barrasso (R-WY),Barrasso,John,R,WY,Yea,S317,0,279
Bennet (D-CO),Bennet,Michael,D,CO,Yea,S330,0,279
Blumenthal (D-CT),Blumenthal,Richard,D,CT,Yea,S341,0,279
Blunt (R-MO),Blunt,Roy,R,MO,Nay,S342,0,279
Booker (D-NJ),Booker,Cory,D,NJ,Yea,S370,0,279
Boozman (R-AR),Boozman,John,R,AR,Yea,S343,0,279
Boxer (D-CA),Boxer,Barbara,D,CA,Yea,S223,0,279
Brown (D-OH),Brown,Sherrod,D,OH,Yea,S307,0,279
Burr (R-NC),Burr,Richard,R,NC,Yea,S300,0,279
Cantwell (D-WA),Cantwell,Maria,D,WA,Yea,S275,0,279
Capito (R-WV),Capito,Shelley,R,WV,Yea,S372,0,279
Cardin (D-MD),Cardin,Ben,D,MD,Yea,S308,0,279
Carper (D-DE),Carper,Thomas,D,DE,Yea,S277,0,279
Casey (D-PA),Casey,Bob,D,PA,Yea,S309,0,279
Cassidy (R-LA),Cassidy,Bill,R,LA,Yea,S373,0,279
Coats (R-IN),Coats,Dan,R,IN,Yea,S212,0,279
Cochran (R-MS),Cochran,Thad,R,MS,Yea,S136,0,279
Collins (R-ME),Collins,Susan,R,ME,Yea,S252,0,279
Coons (D-DE),Coons,Christopher,D,DE,Yea,S337,0,279
Corker (R-TN),Corker,Bob,R,TN,Yea,S310,0,279
Cornyn (R-TX),Cornyn,John,R,TX,Yea,S287,0,279
Cotton (R-AR),Cotton,Tom,R,AR,Yea,S374,0,279
Crapo (R-ID),Crapo,Mike,R,ID,Yea,S266,0,279
Cruz (R-TX),Cruz,Ted,R,TX,Yea,S355,0,279
Daines (R-MT),Daines,Steve,R,MT,Yea,S375,0,279
Donnelly (D-IN),Donnelly,Joe,D,IN,Yea,S356,0,279
Durbin (D-IL),Durbin,Richard,D,IL,Yea,S253,0,279
Enzi (R-WY),Enzi,Mike,R,WY,Yea,S254,0,279
Ernst (R-IA),Ernst,Joni,R,IA,Yea,S376,0,279
Feinstein (D-CA),Feinstein,Dianne,D,CA,Yea,S221,0,279
Fischer (R-NE),Fischer,Deb,R,NE,Yea,S357,0,279
Flake (R-AZ),Flake,Jeff,R,AZ,Yea,S358,0,279
Franken (D-MN),Franken,Al,D,MN,Yea,S332,0,279
Gardner (R-CO),Gardner,Cory,R,CO,Yea,S377,0,279
Gillibrand (D-NY),Gillibrand,Kirsten,D,NY,Yea,S331,0,279
Graham (R-SC),Graham,Lindsey,R,SC,Not Voting,S293,0,279
Grassley (R-IA),Grassley,Chuck,R,IA,Yea,S153,0,279
Hatch (R-UT),Hatch,Orrin,R,UT,Yea,S118,0,279
Heinrich (D-NM),Heinrich,Martin,D,NM,Yea,S359,0,279
Heitkamp (D-ND),Heitkamp,Heidi,D,ND,Yea,S360,0,279
Heller (R-NV),Heller,Dean,R,NV,Yea,S352,0,279
Hirono (D-HI),Hirono,Mazie,D,HI,Yea,S361,0,279
Hoeven (R-ND),Hoeven,John,R,ND,Yea,S344,0,279
Inhofe (R-OK),Inhofe,Jim,R,OK,Yea,S236,0,279
Isakson (R-GA),Isakson,Johnny,R,GA,Yea,S305,0,279
Johnson (R-WI),Johnson,Ron,R,WI,Yea,S345,0,279
Kaine (D-VA),Kaine,Timothy,D,VA,Yea,S362,0,279
King (I-ME),King,Angus,I,ME,Yea,S363,0,279
Kirk (R-IL),Kirk,Mark,R,IL,Yea,S339,0,279
Klobuchar (D-MN),Klobuchar,Amy,D,MN,Yea,S311,0,279
Lankford (R-OK),Lankford,James,R,OK,Yea,S378,0,279
Leahy (D-VT),Leahy,Patrick,D,VT,Yea,S057,0,279
Lee (R-UT),Lee,Mike,R,UT,Yea,S346,0,279
Manchin (D-WV),Manchin,Joe,D,WV,Yea,S338,0,279
Markey (D-MA),Markey,Edward,D,MA,Yea,S369,0,279
McCain (R-AZ),McCain,John,R,AZ,Yea,S197,0,279
McCaskill (D-MO),McCaskill,Claire,D,MO,Yea,S312,0,279
McConnell (R-KY),McConnell,Mitch,R,KY,Yea,S174,0,279
Menendez (D-NJ),Menendez,Robert,D,NJ,Yea,S306,0,279
Merkley (D-OR),Merkley,Jeff,D,OR,Yea,S322,0,279
Mikulski (D-MD),Mikulski,Barbara,D,MD,Yea,S182,0,279
Moran (R-KS),Moran,Jerry,R,KS,Yea,S347,0,279
Murkowski (R-AK),Murkowski,Lisa,R,AK,Yea,S288,0,279
Murphy (D-CT),Murphy,Christopher,D,CT,Yea,S364,0,279
Murray (D-WA),Murray,Patty,D,WA,Yea,S229,0,279
Nelson (D-FL),Nelson,Bill,D,FL,Yea,S282,0,279
Paul (R-KY),Paul,Rand,R,KY,Yea,S348,0,279
Perdue (R-GA),Perdue,David,R,GA,Yea,S379,0,279
Peters (D-MI),Peters,Gary,D,MI,Yea,S380,0,279
Portman (R-OH),Portman,Rob,R,OH,Yea,S349,0,279
Reed (D-RI),Reed,John,D,RI,Yea,S259,0,279
Reid (D-NV),Reid,Harry,D,NV,Yea,S198,0,279
Risch (R-ID),Risch,James,R,ID,Yea,S323,0,279
Roberts (R-KS),Roberts,Pat,R,KS,Yea,S260,0,279
Rounds (R-SD),Rounds,Mike,R,SD,Yea,S381,0,279
Rubio (R-FL),Rubio,Marco,R,FL,Not Voting,S350,0,279
Sanders (I-VT),Sanders,Bernie,I,VT,Yea,S313,0,279
Sasse (R-NE),Sasse,Ben,R,NE,Yea,S382,0,279
Schatz (D-HI),Schatz,Brian,D,HI,Yea,S353,0,279
Schumer (D-NY),Schumer,Charles,D,NY,Yea,S270,0,279
Scott (R-SC),Scott,Timothy,R,SC,Yea,S365,0,279
Sessions (R-AL),Sessions,Jefferson,R,AL,Yea,S261,0,279
Shaheen (D-NH),Shaheen,Jeanne,D,NH,Not Voting,S324,0,279
Shelby (R-AL),Shelby,Richard,R,AL,Yea,S184,0,279
Stabenow (D-MI),Stabenow,Debbie,D,MI,Yea,S284,0,279
Sullivan (R-AK),Sullivan,Dan,R,AK,Nay,S383,0,279
Tester (D-MT),Tester,Jon,D,MT,Yea,S314,0,279
Thune (R-SD),Thune,John,R,SD,Yea,S303,0,279
Tillis (R-NC),Tillis,Thomas,R,NC,Yea,S384,0,279
Toomey (R-PA),Toomey,Pat,R,PA,Yea,S351,0,279
Udall (D-NM),Udall,Tom,D,NM,Yea,S326,0,279
Vitter (R-LA),Vitter,David,R,LA,Yea,S299,0,279
Warner (D-VA),Warner,Mark,D,VA,Yea,S327,0,279
Warren (D-MA),Warren,Elizabeth,D,MA,Yea,S366,0,279
Whitehouse (D-RI),Whitehouse,Sheldon,D,RI,Yea,S316,0,279
Wicker (R-MS),Wicker,Roger,R,MS,Yea,S318,0,279
Wyden (D-OR),Wyden,Ron,D,OR,Yea,S247,0,279
Alexander (R-TN),Alexander,Lamar,R,TN,Yea,S289,0,280
Ayotte (R-NH),Ayotte,Kelly,R,NH,Yea,S340,0,280
Baldwin (D-WI),Baldwin,Tammy,D,WI,Nay,S354,0,280
Barrasso (R-WY),Barrasso,John,R,WY,Yea,S317,0,280
Bennet (D-CO),Bennet,Michael,D,CO,Nay,S330,0,280
Blumenthal (D-CT),Blumenthal,Richard,D,CT,Nay,S341,0,280
Blunt (R-MO),Blunt,Roy,R,MO,Yea,S342,0,280
Booker (D-NJ),Booker,Cory,D,NJ,Nay,S370,0,280
Boozman (R-AR),Boozman,John,R,AR,Yea,S343,0,280
Boxer (D-CA),Boxer,Barbara,D,CA,Nay,S223,0,280
Brown (D-OH),Brown,Sherrod,D,OH,Nay,S307,0,280
Burr (R-NC),Burr,Richard,R,NC,Yea,S300,0,280
Cantwell (D-WA),Cantwell,Maria,D,WA,Nay,S275,0,280
Capito (R-WV),Capito,Shelley,R,WV,Yea,S372,0,280
Cardin (D-MD),Cardin,Ben,D,MD,Nay,S308,0,280
Carper (D-DE),Carper,Thomas,D,DE,Nay,S277,0,280
Casey (D-PA),Casey,Bob,D,PA,Nay,S309,0,280
Cassidy (R-LA),Cassidy,Bill,R,LA,Yea,S373,0,280
Coats (R-IN),Coats,Dan,R,IN,Yea,S212,0,280
Cochran (R-MS),Cochran,Thad,R,MS,Yea,S136,0,280
Collins (R-ME),Collins,Susan,R,ME,Yea,S252,0,280
Coons (D-DE),Coons,Christopher,D,DE,Nay,S337,0,280
Corker (R-TN),Corker,Bob,R,TN,Yea,S310,0,280
